Segment	Q1	Q2	Q3	Q4
S151	What choices and risks does Esther face in this story?	What does this reveal about courage and trusting God’s timing?	Where could you speak up or show courage even if it feels risky?	What brave step will you take to stand for what’s right?
S152	What conversations or turning points stand out between Esther and the king?	What does this teach about wisdom and influence?	Where could you use your words carefully to bring peace or help others?	What one way will you use your influence to help someone today?
S153	What do you notice about how God works behind the scenes in Esther’s story?	What does this reveal about providence and unseen protection?	Where can you trust that God is working even when things seem uncertain?	What reminder will help you trust God’s unseen plan this term?
S154	What emotions or questions rise from Job’s suffering?	What does this story reveal about faith under pressure?	Where do you wrestle with questions you don’t fully understand?	What will you do when life feels confusing or unfair?
S155	What friends or voices surround Job, and how do they respond?	What does this show about listening and compassion?	When someone’s struggling at school, how can you avoid judging and instead support them?	What act of kindness or listening will you offer this week?
S156	What truth about God stands out from Job’s conversation with Him?	What does this teach about humility and perspective?	Where do you need to remember that God’s view is bigger than yours?	What attitude of humility will you practice when things don’t make sense?
S157	What images of nature or creation appear in Job’s story?	What do these reveal about God’s power and care?	Where does being outdoors or in creation remind you of God’s greatness?	What moment will you take this weekend to pause and notice His creation?
S158	What do you notice about Job’s honesty in his prayers?	What does this show about bringing our emotions to God?	When do you find it hard to be honest about your feelings?	How will you be more real with God in your prayers this week?
S159	What emotion or phrase stands out in Psalm 1?	What does this psalm teach about choosing the right path?	Where are you making small choices that shape your direction?	What step will you take today to walk in God’s way?
S160	What does Psalm 8 say about humanity and creation?	What does this reveal about your worth and purpose before God?	Where could you treat others with more dignity and respect at school?	What change in attitude will you make toward others today?
S161	What fears or emotions appear in Psalm 23?	What does this psalm show about trust and peace?	Where do you need God’s calm presence during your school day?	How will you remind yourself that God is guiding you each day?
S162	What emotions are expressed in Psalm 27?	What does this reveal about confidence in God when afraid?	Where do you need courage to face something unknown?	What prayer of confidence will you make before facing your next challenge?
S163	What kind of honesty do you see in Psalm 32?	What does this psalm teach about confession and forgiveness?	Where do you need to be honest with God or someone else?	What will you do to clear your heart and start fresh?
S164	What images of protection or safety stand out in Psalm 46?	What do they reveal about God as a refuge?	Where do you feel stressed or overwhelmed in your week?	What peaceful reminder will you carry into your school day?
S165	What kinds of praise fill Psalm 63?	What does this reveal about joy in worship even in hard places?	Where can you practice gratitude even when things are difficult?	What words of thanks will you speak to God or others today?
S166	What do you notice about the tone of Psalm 84?	What does this reveal about longing for God’s presence?	Where do you most feel close to God — in music, quiet, or community?	What habit will help you make space for God’s presence this week?
S167	What kinds of emotions or honesty appear in Psalm 91?	What does this psalm teach about trust and protection?	Where do you feel nervous or unsafe and need God’s peace?	What will help you rest in God’s care during this season?
S168	What themes of praise stand out in Psalm 100?	What does this reveal about worship and community?	Where can you bring more gratitude into your class or friendships?	What expression of joy will you share this week?
S169	What emotions or images stand out in Psalm 103?	What does this reveal about God’s compassion and forgiveness?	Where can you show compassion toward others who’ve messed up?	What act of forgiveness will you choose this week?
S170	What moments of sorrow or repentance appear in Psalm 51?	What does this reveal about God’s mercy and restoration?	Where do you need a fresh start in your school or relationships?	What honest prayer will you make to begin again today?
S171	What emotions or questions stand out in Psalm 73?	What does this teach about perspective when life feels unfair?	Where have you compared your life to others?	What will you focus on instead to find peace in your own journey?
S172	What emotions of gratitude appear in Psalm 95?	What does this teach about worship as both joy and obedience?	Where can you express gratitude during ordinary parts of your school day?	What will you thank God for before this day ends?
S173	What struggles or doubts are voiced in Psalm 77?	What does this reveal about remembering God’s past faithfulness?	Where can looking back help you see how God has helped before?	What will you do to remember His goodness when you face challenges?
S174	What emotions and patterns do you notice in Psalm 119’s focus on God’s Word?	What does this psalm reveal about loving Scripture?	Where can you build consistency in learning or reading Scripture?	What new rhythm will you start to stay rooted in God’s Word?
S175	What contrasts appear between righteous and wicked in Psalm 37?	What does this show about patience and trust in God’s timing?	Where do you want things to happen quickly but need patience?	What long-term attitude of trust will you practice this month?
S176	What honest prayers for help appear in Psalm 86?	What does this show about humility and need?	Where can you ask for help instead of trying to handle everything alone?	What request will you bring to God before your next big task?
S177	What expressions of joy and creation appear in Psalm 104?	What does this show about God’s creativity and order?	Where can you notice creativity in your school or world?	What creative act will you do this week to honor God’s imagination?
S178	What emotions stand out in Psalm 139?	What does this reveal about God’s personal knowledge of you?	Where do you need to remember that you are fully known and loved?	What reminder will you keep near you about your worth?
S179	What examples of trust and gratitude appear in Psalm 121?	What does this reveal about where help truly comes from?	Where do you need to depend less on yourself and more on God?	What small reminder will you keep for when you feel anxious?
S180	What emotions or requests stand out in Psalm 130?	What does this show about waiting and hope?	Where do you need to wait patiently instead of rushing ahead?	What practice will help you wait with hope this season?
S181	What declarations of praise appear in Psalm 145?	What does this reveal about remembering God’s goodness?	Where can you tell others about what God has done for you?	What story of gratitude will you share this month?
S182	What kind of praise or joy fills the final psalms?	What does this show about worship as a full-life response?	Where could joy and worship reshape your attitude today?	What expression of praise will you bring to God this week?
S183	What qualities of wisdom are highlighted in Proverbs 1?	What does this reveal about learning and humility?	Where could you listen better before acting or speaking?	What will you do today to grow in wisdom?
S184	What contrasts appear between wise and foolish choices in Proverbs 3?	What does this show about trusting God’s direction?	Where are you tempted to rely on your own understanding?	What decision will you trust God with this week?
S185	What do Proverbs say about friendship and influence?	What does this reveal about how relationships shape your character?	Where could you be a better influence on your friends?	What kind of friend will you choose to be this term?
S186	What lessons about speech or words stand out in Proverbs 15?	What do they show about self-control and kindness?	Where do your words most often cause tension or healing?	What word or phrase will you use today to bring peace?
S187	What principles about work and diligence appear in Proverbs 12 or 13?	What does this reveal about discipline and consistency?	Where could you give more focus or effort in your school responsibilities?	What one improvement will you make in your work habits?
S188	What emotions or insights stand out in Proverbs 16 about pride and humility?	What does this show about letting God guide your plans?	Where are you tempted to act without asking God for help?	What change will you make to trust His direction this week?
