Segment	Q1	Q2	Q3	Q4
S201	What images or promises stand out in Isaiah’s vision?	What does this reveal about God’s holiness and hope for the world?	Where do you see brokenness around you that needs God’s renewal?	What will you do to bring hope or encouragement where it’s needed most?
S202	What message does Isaiah bring about justice and mercy?	What does this show about God’s heart for fairness?	Where could you speak up or act for fairness in your school community?	What action will you take to show compassion and justice this week?
S203	What warnings or comforts appear in Isaiah’s prophecies?	What do these reveal about God’s patience and desire for repentance?	Where might you need to realign your attitude or priorities?	What small change will you make today to stay true to God’s ways?
S204	What hope does Isaiah give about a coming Savior or Redeemer?	What does this reveal about God’s plan to rescue and restore?	Where do you need to be reminded that God keeps His promises?	What will you do to hold onto hope when things feel uncertain?
S205	What examples of pride or trust appear in the nations Isaiah speaks to?	What does this reveal about relying on God instead of strength or popularity?	Where do you see pride affecting choices in school life?	What humble step will you take to depend on God today?
S206	What new creation or peace imagery stands out in Isaiah’s visions?	What does this show about God’s dream for the world?	Where could you help bring peace or restoration in your environment?	What one thing will you do to promote peace this week?
S207	What call to repentance does Jeremiah bring to God’s people?	What does this reveal about God’s heart for relationship, not religion?	Where do you need to return to a sincere love for God?	What first step will you take to renew your relationship with Him?
S208	What courage does Jeremiah show when people reject his message?	What does this teach about standing firm even when unpopular?	Where might you need to speak truth with love, even if it’s not easy?	What will help you stay strong in your convictions this week?
S209	What images of restoration appear in Jeremiah’s prophecies?	What does this show about God’s desire to heal and rebuild lives?	Where could you help rebuild trust or friendship after conflict?	What step will you take to be part of restoration today?
S210	What covenant or promise does God make in Jeremiah 31?	What does this new covenant reveal about grace and transformation?	Where do you see God writing His truth on your heart through experience?	What will you do to live out His truth with integrity?
S211	What images of hope appear amid Jeremiah’s sorrow?	What does this teach about faith when life feels disappointing?	Where do you need to cling to hope in a difficult situation?	What reminder will you carry this month that God is still faithful?
S212	What grief and emotion do you notice in Lamentations?	What does this show about expressing sorrow honestly before God?	Where could you bring your emotions to God instead of hiding them?	What honest conversation with God will help you find peace again?
S213	What phrases of hope shine through the sadness of Lamentations?	What do these reveal about God’s mercy and renewal?	Where have you seen new beginnings after failure or loss?	What will you thank God for as you start fresh this season?
S214	What visions or symbols stand out in Ezekiel’s calling?	What do they reveal about responsibility and obedience?	Where do you sense God calling you to lead or speak truth?	What faithful step will you take even if others don’t understand?
S215	What emotions or actions appear in Ezekiel’s vision of the dry bones?	What does this show about revival and new life?	Where do you see something that feels lifeless or hopeless around you?	What will you do to bring encouragement or life into that place?
S216	What responsibilities does God give Ezekiel as a watchman?	What does this reveal about caring for others and warning them in love?	Where can you look out for someone who may be struggling?	What step will you take to check in and encourage them today?
S217	What themes of restoration stand out in Ezekiel’s temple vision?	What does this show about God’s order and holiness?	Where do you need more structure or focus in your spiritual life?	What new routine or boundary will you set to stay close to God?
S218	What actions or visions in Ezekiel show God’s glory returning?	What does this reveal about God’s desire to dwell among His people?	Where do you sense God’s presence showing up in ordinary places?	What will you do to notice His presence in your daily rhythm?
S219	What warning does Ezekiel give about following false voices?	What does this show about discernment and truth?	Where are you hearing mixed messages in your environment?	What practice will help you stay grounded in truth this week?
S220	What comfort or encouragement do you see in Isaiah’s promise of a coming King?	What does this reveal about God’s leadership and peace?	Where do you need to trust that God is still leading in chaos?	What will help you rest in His leadership today?
S221	What actions or messages stand out in Daniel’s early life?	What does this show about conviction and purity?	Where do you feel pressure to compromise your beliefs?	What decision will you make to stay true to your convictions?
S222	What happens when Daniel and his friends refuse to bow to idols?	What does this reveal about courage under pressure?	Where might you need to stand for your faith despite opposition?	What courageous action will you take when faced with pressure?
S223	What details stand out in Daniel’s prayer and worship habits?	What do these show about discipline and devotion?	Where could you set aside consistent time for prayer or reflection?	What daily or weekly rhythm will you commit to for prayer?
S224	What lessons do you notice from the story of the fiery furnace?	What does this show about trust and God’s presence in danger?	Where do you feel fear or uncertainty about standing out?	What will help you stay faithful even when it’s difficult?
S225	What do you notice about Nebuchadnezzar’s pride and humility?	What does this teach about recognizing God’s authority?	Where could humility help you lead or learn better?	What humble action will you take this week?
S226	What message of hope do you find in Daniel’s interpretation of dreams?	What does this show about God’s control over history?	Where can you trust that God has a plan even when things seem confusing?	What reminder will help you rest in His plan this season?
S227	What challenges or tests of integrity do Daniel and his friends face?	What does this reveal about faithfulness and teamwork?	Where could you support a friend in doing what’s right?	What will you do to stand with others in faith this week?
S228	What stands out in the handwriting on the wall story?	What does this reveal about pride and consequence?	Where do you need to take responsibility for a choice or mistake?	What step will you take to make things right today?
S229	What courage does Daniel show in the lions’ den?	What does this reveal about peace and prayer under pressure?	Where do you need to stay calm and prayerful when facing stress?	What will you do to show quiet courage in your own challenges?
S230	What visions of kingdoms or future events stand out to you in Daniel’s prophecies?	What does this show about God’s sovereignty over all history?	Where do you need to remember that God’s plans are bigger than the present moment?	What practice will help you keep a long-term perspective on faith?
S231	What emotions or details stand out in Daniel’s later visions?	What does this reveal about perseverance and prayer?	Where do you feel weary in your faith or responsibilities?	What will you do to strengthen your perseverance this month?
S232	What examples of integrity and faithfulness summarize Daniel’s life?	What does his story reveal about consistency and trustworthiness?	Where do you need to stay dependable even in small things?	What will help you be steady and faithful in your commitments?
S233	What messages of judgment and hope appear across these prophetic books?	What do they show about God’s justice and compassion together?	Where can you balance truth and kindness in your school relationships?	What thoughtful action will you take to show both grace and truth?
S234	What promises of restoration appear after times of exile or discipline?	What does this reveal about second chances with God?	Where do you see an opportunity for renewal or change around you?	What renewal will you pray for and begin today?
S235	What visions of peace and unity appear in Isaiah and Ezekiel?	What does this reveal about God’s heart for nations and people?	Where could you help bridge gaps between people or groups at school?	What peacemaking step will you take to bring unity?
S236	What encouragement do the prophets give to those who feel small or weak?	What does this show about strength through faith?	Where do you feel overlooked but still want to make a difference?	What small faithful act will you do even if no one notices?
S237	What visions or images in Ezekiel speak of God’s glory?	What do they reveal about awe and reverence?	Where do you lose sight of God’s greatness in the busyness of life?	What will you do to pause and honor Him today?
S238	What actions or emotions stand out when God restores His people?	What does this reveal about celebration and gratitude?	Where can you express joy after something has been restored or healed?	What will you do to thank God for renewal in your life?
S239	What warnings about false security appear in these chapters?	What does this reveal about trusting God over comfort?	Where might you be relying too much on comfort or approval?	What change will you make to depend on God’s strength instead?
S240	What final hopes or visions close the book of Ezekiel?	What do they reveal about God’s plan for a renewed creation?	Where do you see glimpses of God’s renewal in your surroundings?	What hopeful action will you take to care for what God’s restoring?
S241	What details in Daniel’s training and faithfulness stand out?	What does this reveal about balancing learning and faith?	Where do you need to honor God through your studies or discipline?	What practical step will you take to keep your integrity in learning?
S242	What role does prayer play in Daniel’s success and peace?	What does this reveal about reliance on God in pressure moments?	Where do you need to pray before reacting in stress or conflict?	What prayer habit will you begin building this term?
S243	What lesson do you learn from Daniel interpreting dreams?	What does this show about humility and giving credit to God?	Where do you need to give thanks instead of taking credit?	What word of gratitude will you speak today?
S244	What attitudes of courage appear in Daniel’s stand against injustice?	What does this show about conviction and moral strength?	Where can you stand up for someone who’s treated unfairly?	What action will you take to support fairness this week?
S245	What do you notice about Daniel’s consistency in faith over decades?	What does this reveal about habits and endurance?	Where can you stay consistent even when progress feels slow?	What long-term goal will you stay faithful to pursuing?
S246	What do Daniel’s visions of the future show about God’s control?	What does this teach about peace amid uncertainty?	Where do you need to remember that God’s story is still unfolding?	What choice will you make to live with faith instead of fear?
S247	What reactions or emotions do you notice in Daniel’s prayers?	What does this reveal about humility and repentance?	Where do you sense a need for spiritual renewal in your life?	What prayer of renewal will you make today?
S248	What moments in Daniel’s story show the power of community?	What does this reveal about faith shared with friends?	Where can you strengthen your friendships around faith and encouragement?	What will you do to build supportive community this week?
S249	What examples of courage and humility stand out in Daniel’s story?	What do they teach about character in leadership?	Where do you need to show both confidence and humility?	What will help you lead with grace and strength?
S250	What overall lessons from the prophets and Daniel stand out to you?	What do they reveal about God’s justice, mercy, and sovereignty?	Where do you want to live more courageously and faithfully?	What one commitment will you carry forward into your next season?
