Segment	Q1	Q2	Q3	Q4
S251	What images or emotions stand out in Hosea’s story of love and betrayal?	What does this reveal about God’s faithful love even when His people turn away?	Where have you seen forgiveness restore a friendship or relationship?	What action will you take to show patient love when someone disappoints you?
S252	What message does Hosea’s life illustrate about God’s heart?	What does this show about mercy and unconditional love?	Where do you need to remember God’s grace instead of guilt?	What reminder will help you walk confidently in grace this week?
S253	What warnings or promises stand out in Joel’s message?	What does this reveal about repentance and renewal?	Where do you see the need for a new beginning at school or in life?	What will you do to turn your attention back to God today?
S254	What images of restoration appear after judgment in Joel’s prophecy?	What does this show about God’s power to renew what’s broken?	Where could you help rebuild trust or kindness after a hard time?	What step will you take this week to bring hope or renewal?
S255	What call to justice appears in Amos’s message?	What does this reveal about God’s concern for fairness and honesty?	Where do you see people treated unfairly or left out?	What will you do to stand up for fairness and kindness in your school?
S256	What examples of hypocrisy does Amos challenge?	What does this teach about living with integrity instead of appearances?	Where might you need to align your words and actions?	What change will help your faith be more authentic this week?
S257	What message of humility stands out in Obadiah’s short book?	What does this reveal about pride and downfall?	Where can humility make a difference in your friendships or teamwork?	What choice will you make to put others first today?
S258	What stands out in Jonah’s response to God’s call?	What does this show about obedience and compassion?	Where have you been reluctant to do something God prompted you to do?	What small act of obedience will you choose to follow through on this week?
S259	What emotion or action surprises you in Jonah’s prayer inside the fish?	What does this reveal about repentance and gratitude?	Where could thankfulness change your attitude in a hard situation?	What will you thank God for even in difficulty?
S260	What lessons stand out from Jonah’s anger when God forgives Nineveh?	What does this reveal about compassion over judgment?	Where might you need to show mercy to someone who’s wronged you?	What will you do to extend grace instead of resentment?
S261	What key message does Micah give about what God requires?	What does this reveal about justice, mercy, and humility?	Where could you apply these values at school or home?	What one way will you walk humbly and kindly today?
S262	What warnings appear in Nahum’s message to Nineveh?	What does this show about God’s justice and patience?	Where do you see people ignoring wise correction?	What will you do to stay teachable and humble?
S263	What questions or struggles does Habakkuk express to God?	What does this reveal about faith during confusion?	Where do you wrestle with things you don’t understand?	What step of trust will you take even without clear answers?
S264	What response of praise closes Habakkuk’s book?	What does this show about joy and faith in hard times?	Where can you choose joy even when things aren’t perfect?	What will you thank God for regardless of circumstances?
S265	What actions or warnings appear in Zephaniah’s prophecy?	What does this reveal about repentance and renewal?	Where can you lead by example in making better choices?	What habit will you change to reflect God’s ways?
S266	What hope does Zephaniah give for those who return to God?	What does this reveal about God’s joy in His people?	Where do you need to remember that God delights in you?	What reminder will help you live with joy and confidence today?
S267	What rebuilding projects appear in Haggai’s message?	What does this show about priorities and obedience?	Where do you need to refocus your attention after distraction?	What priority will you set to honor God first this week?
S268	What encouragement does Zechariah give about God’s plans?	What does this reveal about faith and perseverance?	Where do you need motivation to keep going with a good goal?	What encouragement will you give someone who feels tired or stuck?
S269	What prophetic images of the future appear in Zechariah’s visions?	What do they reveal about hope and restoration?	Where could you imagine and pray for positive change in your school?	What creative step will you take to be part of that change?
S270	What heart issues does Malachi address among God’s people?	What does this reveal about worship and integrity?	Where could you give God more respect and attention in daily life?	What will you do to make your worship more genuine?
S271	What promise closes the Old Testament in Malachi?	What does this show about God’s faithfulness and coming restoration?	Where do you sense God preparing you for new beginnings?	What will you do to stay hopeful for what’s ahead this season?
S272	What events mark the beginning of Matthew’s Gospel?	What do they reveal about Jesus’ purpose and identity?	Where do you see God at work in unexpected beginnings?	What step will you take to welcome Jesus’ presence into your day?
S273	What details stand out in the birth story of Jesus?	What does this reveal about humility and God’s love?	Where could humility change the way you treat others?	What action will you take to show kindness today?
S274	What do you notice about the wise men’s journey?	What does this reveal about seeking and worshipping God?	Where can you seek truth and wisdom amid distractions?	What will you do to follow God’s guidance this week?
S275	What stands out in Jesus’ early years and His family’s obedience?	What does this show about faithfulness and listening to God?	Where could you practice listening before acting?	What habit will you strengthen to stay attentive to God’s voice?
S276	What message does John the Baptist bring before Jesus appears?	What does this reveal about preparation and repentance?	Where do you need to prepare your heart for growth or change?	What new practice will you start as a fresh beginning?
S277	What happens during Jesus’ baptism?	What does this show about identity and obedience?	Where do you find your identity — in achievements or in God’s love?	What reminder will help you live from your true identity this week?
S278	What temptations does Jesus face in the wilderness?	What do these reveal about resisting shortcuts and staying true?	Where are you tempted to take the easy way out?	What strategy will you use to stay focused on what’s right?
S279	What message does Jesus begin preaching after His temptation?	What does this reveal about the Kingdom of Heaven?	Where can you bring God’s kindness and truth into everyday moments?	What will you do to reflect God’s kingdom at school?
S280	What does Jesus’ calling of the first disciples reveal about following Him?	What does this show about trust and action?	Where is God inviting you to take a step of faith in friendship or service?	What will you do to follow that invitation today?
S281	What stands out in the Sermon on the Mount?	What do Jesus’ teachings reveal about true character?	Where do you find it hardest to live out humility, mercy, or peace?	What beatitude will you focus on practicing this week?
S282	What metaphors does Jesus use about being salt and light?	What do they reveal about influence and purpose?	Where can you bring light or kindness into your environment?	What will you do to shine through your actions today?
S283	What do Jesus’ teachings about prayer and forgiveness reveal?	What do they show about relationship with God and others?	Where do you need to let go of resentment or pray for someone?	What prayer of forgiveness will you make before the week ends?
S284	What parables or stories does Jesus tell about the Kingdom of Heaven?	What do they reveal about growth and hidden potential?	Where do you see small acts making a big difference?	What small seed of action will you plant this term?
S285	What miracles does Jesus perform in His early ministry?	What do they reveal about compassion and faith?	Where can you bring hope to someone who’s struggling?	What compassionate act will you take this week?
S286	What stands out in Jesus’ call to love enemies and bless others?	What does this reveal about radical kindness?	Where can you practice kindness toward someone difficult to love?	What step will you take to live out love in action?
S287	What lessons do you see in Jesus calming the storm?	What does this show about faith over fear?	Where do you need peace in the middle of chaos?	What will you do to remember that Jesus is with you in every challenge?
S288	What surprises you in the story of Jesus healing and forgiving sins?	What does this reveal about grace and authority?	Where do you need healing or forgiveness in your life?	What prayer for wholeness will you bring to God today?
S289	What message stands out from Jesus’ call of Matthew the tax collector?	What does this show about inclusion and transformation?	Where do you see people who feel left out or overlooked?	What action will you take to welcome someone new?
S290	What emotions or actions appear in the story of the woman healed by faith?	What does this reveal about belief and courage?	Where do you need to approach Jesus with honesty and trust?	What bold prayer will you make for healing or help this week?
S291	What stands out in Jesus sending out His disciples?	What does this show about teamwork and mission?	Where can you serve with others to make a positive difference?	What team effort will you join or strengthen this term?
S292	What do Jesus’ teachings about rest and burden reveal?	What do they show about gentleness and balance?	Where do you feel overworked or pressured?	What choice will you make to find healthy rest?
S293	What reactions do people have to Jesus’ parables?	What does this reveal about openness and understanding?	Where do you need to listen more deeply to God’s truth?	What will you do to quiet distractions and reflect this week?
S294	What stands out in Jesus feeding the 5,000?	What does this show about compassion and abundance?	Where can you share what you have with others?	What generous act will you take before the week ends?
S295	What lessons do you see in Jesus walking on water?	What does this reveal about faith when afraid?	Where do you feel challenged to step out of your comfort zone?	What step of faith will you take today?
S296	What message stands out from Jesus’ teaching on forgiveness and mercy?	What does this reveal about the heart of God?	Where can you extend mercy in your classroom or home?	What choice will you make to forgive and move forward?
S297	What parable or story of the Kingdom challenges you most?	What does it show about priorities and values?	Where might you need to reorder your priorities around God’s will?	What decision will you make to seek God’s kingdom first?
S298	What does Peter’s confession about Jesus reveal?	What does this show about recognizing truth and identity?	Where do you need to express your faith openly?	What word or action will you take to show your faith this week?
S299	What event or moment stands out in the story of the Transfiguration?	What does this reveal about God’s glory and revelation?	Where have you experienced a moment that reminded you of God’s power?	What will you do to stay aware of God’s presence this season?
S300	What lessons do you see in Jesus’ teaching about humility and greatness?	What does this show about serving others?	Where could you show leadership through serving others at school?	What act of service will you choose to do this week?
