Segment	Q1	Q2	Q3	Q4
S301	What actions of Jesus stand out in Mark’s opening chapters?	What does this reveal about His authority and compassion?	Where can you bring help or comfort when others are struggling?	What act of kindness will you do to serve someone today?
S302	What surprises you about how Jesus interacts with outcasts or sinners?	What does this show about acceptance and grace?	Where could you include someone who feels left out at school?	What will you do to show acceptance this week?
S303	What do you notice about Jesus’ teaching in parables?	What does this reveal about understanding and openness of heart?	Where do you need to slow down and listen carefully to understand truth?	What habit will you start to reflect more deeply on what you hear?
S304	What stands out in the story of Jesus calming the storm?	What does this show about trust and fear?	Where do you feel afraid or uncertain about something ahead?	What prayer or reminder will help you stay calm in challenges?
S305	What details do you notice in the story of feeding the 4,000?	What does this reveal about compassion and provision?	Where can you share what you have to meet a need?	What generous act will you take to help someone this week?
S306	What do you notice about Jesus’ question, ‘Who do you say I am?’	What does this reveal about identity and faith?	Where do you find your identity—in others’ approval or in God’s truth?	What will help you stay confident in your identity this term?
S307	What moment of service or sacrifice stands out before Jesus’ death?	What does this show about servant leadership?	Where can you lead by example rather than by control or pride?	What act of service will you do quietly without seeking attention?
S308	What do you notice in Jesus’ suffering and crucifixion?	What does this reveal about love and endurance?	Where can you choose love even when it costs you comfort?	What commitment will you make to love others sacrificially?
S309	What stands out in the story of Jesus’ resurrection?	What does this reveal about hope and new beginnings?	Where do you need to believe that God can bring good from hard things?	What hope will you hold onto and share this week?
S310	What response do the disciples have to the risen Jesus?	What does this show about belief and mission?	Where can you share your faith naturally in conversation or action?	What will you do to show your faith through your attitude today?
S311	What details in Luke’s introduction show his purpose in writing?	What does this reveal about truth and reliability?	Where do you see the value of honesty and clarity in communication?	What practice will help you stay truthful in your words and work?
S312	What do you notice in the story of Mary’s response to God’s message?	What does this show about faith and willingness?	Where can you say ‘yes’ to something challenging but good?	What step of obedience will you take this week?
S313	What emotions or actions stand out in the birth of Jesus?	What does this reveal about humility and joy?	Where could you find joy in simple things this season?	What will you do to spread joy to others today?
S314	What do you notice about Jesus’ early years and growth?	What does this show about learning and obedience?	Where do you need to grow in wisdom or patience?	What choice will help you keep learning with humility?
S315	What stands out in Jesus’ reading from Isaiah in the synagogue?	What does this reveal about His mission and purpose?	Where can you bring freedom or encouragement to someone who’s hurting?	What will you do to live out Jesus’ compassion this week?
S316	What do you notice about Jesus’ parables of mercy and forgiveness?	What do these reveal about God’s heart for people?	Where do you need to forgive or show patience to someone at school?	What action of mercy will you take before the week ends?
S317	What details stand out in the story of the Good Samaritan?	What does this reveal about seeing and helping others?	Where do you tend to walk past people who need help?	What will you do to be a good neighbor today?
S318	What emotions appear in the story of the prodigal son?	What does this show about forgiveness and grace?	Where can you welcome someone back who’s made mistakes?	What kind response will you show to someone seeking a second chance?
