Segment	Q1	Q2	Q3	Q4
S001	What repeated words or rhythms do you notice in the story of creation?	What does this show about what God delights in and how He works?	When you look at your classmates, how does remembering they’re God’s creation change your attitude?	What’s one small way you can mirror God’s creativity or kindness at school this week?
S002	What key moments stand out in this story of Adam and Eve?	What does this passage show about temptation and trust?	Where do you notice similar moments of choice or pressure at school?	What wise boundary will you choose to protect trust this week?
S003	What differences do you see between Noah and the world around him?	What does this reveal about faithfulness when others don’t believe?	Where do you feel pressure to fit in instead of stand out for what’s right?	What action will help you live with quiet integrity this week?
S004	What reasons did people have for building the tower?	What does God’s response show about pride and human limits?	Where do you see pride or self-promotion around you at school?	What step could you take this week to build connection instead of competition?
S005	What do you notice about God’s call to Abram?	What does this story reveal about faith and obedience?	Where might God be inviting you to trust Him even when the outcome isn’t clear?	What first step of faith will you take this week?
S006	What promises or signs are highlighted in God’s covenant with Abraham?	What do these show about God’s faithfulness and timing?	How does keeping promises build trust in friendships at school?	What commitment or promise will you keep carefully this week?
S007	What stands out about Abraham’s conversation with God about Sodom?	What does this show about compassion and interceding for others?	Where do you see someone being treated unfairly or in need of prayer?	What caring step will you take to stand up or pray for someone this week?
S008	What emotions or struggles do you notice in Abraham’s test of faith?	What does this story teach about trust and surrender?	When is it hardest for you to trust God’s plan at school?	What step of trust will you take in a difficult situation this week?
S009	What new beginnings do you see in Isaac’s family story?	How does this passage show God working across generations?	Who in your life encourages your faith when things are uncertain?	What way will you show patience and trust in your relationships this week?
S010	What motives drive Jacob’s deception?	What do the consequences reveal about honesty and trust?	Where are you tempted to take shortcuts in your studies or friendships?	What honest choice will you make even if it costs you this week?
S011	What tensions grow in Jacob’s family relationships?	What do these tensions show about comparison and rivalry?	Where do you see jealousy or competition in your school life?	What peacemaking step could you take to encourage teamwork this week?
S012	What turning point happens when Jacob wrestles with God?	What does this reveal about identity and surrender?	Where do you feel like you’re struggling with God or with yourself?	What honest prayer or step will help you face that struggle this week?
S013	What decisions lead Jacob to resettle?	What does this show about God’s care even in messy situations?	Where do you see God guiding you in change or uncertainty?	What steady step will help you stay grounded this week?
S014	What hardships does Joseph face and how does he respond?	What traits of character grow through his trials?	When do setbacks test your character at school?	What resilient action will you take when things get hard this week?
S015	What qualities do you notice in Joseph when he succeeds in Egypt?	What do these moments show about humility and wisdom?	When you receive praise or recognition, how can you stay grounded?	What gratitude habit will keep your focus on God this week?
S016	What emotions drive Joseph’s brothers in this passage?	What does Joseph’s response show about forgiveness and leadership?	Where could you show forgiveness or understanding at school?	What step could you take to rebuild trust this week?
S017	What risks and emotions are involved in Joseph’s reunion with his family?	What does this story teach about reconciliation?	Where do you sense God prompting you toward peace with someone?	What first step will you take toward rebuilding a relationship this week?
S018	What themes of blessing or legacy do you see in Jacob and Joseph’s final days?	What does this show about faith that lasts through generations?	How does thinking about legacy affect your long-term goals?	What small daily priority will help you live with purpose this week?
S019	What challenges do the Israelites face at the start of Exodus?	What does God’s call of Moses reveal about purpose and courage?	Where might you feel unqualified but sense God asking you to act?	What small step of courage will you take this week?
S020	What fears or excuses does Moses bring to God?	What does God’s response show about patience and power?	Where do you doubt your ability in class or leadership?	What choice will you make to trust God’s help this week?
S021	What patterns do you see across the plagues in Egypt?	What does this reveal about stubborn hearts and second chances?	Where might you be resisting change even when you know it’s right?	What new habit will you begin to soften your heart this week?
S022	What stands out about the Passover instructions?	What does this reveal about rescue and belonging to God?	How can remembering God’s care change your attitude this week?	What simple daily reminder will help you live with gratitude?
S023	What actions and emotions mark Israel’s escape through the Red Sea?	What do you learn about fear, faith, and God’s power to save?	Where do you feel trapped or unsure of what’s next?	What step of faith will you take while trusting God to make a way?
S024	What examples of complaining and provision do you notice?	What does this teach about trust and gratitude?	Where do you catch yourself complaining during the school week?	What daily practice of thankfulness will you choose instead?
S025	Which commands in the Ten Commandments stand out to you most?	What do these reveal about loving God and others?	How would your school feel different if these shaped how people treated each other?	Which one command will you focus on living out this week?
S026	What kinds of laws or values are set out in this passage?	What do they show about fairness and community care?	Where could kindness or justice grow in your school environment?	What fair action will you take this week to help someone?
S027	What details in the tabernacle instructions show God’s desire to dwell with His people?	What do beauty and order in worship teach us about God’s presence?	Where could you help make space for God in your routines?	What creative step will you take to include God in your school week?
S028	What expectations are set for the priests in their work?	What do these show about holiness and preparation for serving?	Where do you need clear boundaries to serve others well?	What boundary will you set or renew to stay healthy this week?
S029	What practices are emphasized in the worship instructions?	What does this teach about rhythm, rest, and devotion?	Where do you need more rest or focus to meet with God?	What one rhythm will you protect this week for your relationship with God?
S030	What led the people into idolatry with the golden calf?	What does Moses’ prayer reveal about mercy and leadership?	What modern distractions pull your focus away from God?	What change will you make to put God first this week?
S031	How do the people respond to God’s instructions for building the tabernacle?	What does this show about generosity and teamwork?	Where could you offer your time or talent to help others?	What specific act of service will you do this week?
S032	What completes the work on the tabernacle?	What does God’s glory filling the tent show about His presence?	How can you honor God’s presence in ordinary places like school?	What habit will help you notice God’s nearness this week?
S033	What kinds of offerings are described in these chapters?	What do these teach about gratitude and repentance?	Where do you need to be more honest with God?	What prayer of thanks or confession will you bring to Him today?
S034	What daily offerings or practices stand out here?	What do they reveal about staying close to God?	How could you turn a routine part of your school day into worship?	What daily moment will you dedicate to God this week?
S035	What steps do the priests take to prepare for service?	What does this show about readiness and respect?	Where do you need to prepare your heart before serving or leading?	What simple preparation step will you take this week?
S036	What distinctions are made between clean and unclean things?	What does this teach about living wisely and staying healthy?	How do small habits affect your wellbeing at school?	What healthy practice will you keep consistent this week?
S037	What attention to detail stands out in these instructions?	What does this show about holiness and care in small things?	Where do you need more care or integrity in your daily work?	What careful choice will you repeat this week?
S038	What stands out about the Day of Atonement?	What does this reveal about forgiveness and access to God?	Where have you experienced God’s forgiveness in your life?	How will you extend that same forgiveness to someone this week?
S039	What commands and warnings are emphasized about holy living?	What do these show about being distinct yet loving?	Where are you called to stand out for the right reasons?	What one attitude will you practice to reflect God’s holiness?
S040	What standards are set for those who lead in worship?	What do these reveal about influence and example?	Where do you have influence in your school or group?	What example will you set through your actions this week?
S041	What festivals or special days are described here?	What do they teach about remembering God together?	What rhythm helps you remember God in your week?	What reminder will you schedule into your daily routine?
S042	What practices of rest and release stand out here?	What do these reveal about trust and renewal?	Where do you need to pause or reset from stress?	What restful step will you take to trust God this week?
S043	What choices and outcomes are contrasted here?	What does this reveal about the path of blessing?	Where are your choices leading you this week?	What wise decision will you make today?
