Segment	Q1	Q2	Q3	Q4
S051	What final reminders does Moses give before Israel enters the land?	What do these words reveal about God’s faithfulness and Israel’s responsibility?	Where do you need to remember past lessons before stepping into something new?	What truth from God’s Word will you hold onto this week?
S052	What commands does Moses repeat about loving and obeying God?	What do these show about how love and obedience belong together?	Where can you show love for God through your actions at school?	What small step will you take to love God with your whole heart this week?
S053	What warnings does Moses give about forgetting God after success?	What does this teach about humility and gratitude?	When life is going well, how can you stay thankful and grounded?	What daily practice will help you remember God’s goodness?
S054	What picture of choice does Moses give between life and death, blessing and curse?	What does this reveal about responsibility and freedom?	Where do your decisions at school show what you truly value?	What wise choice will you make this week to honor God?
S055	How does Moses prepare Joshua to lead after him?	What does this teach about mentoring and courage?	Who encourages you to grow in faith, and who can you encourage?	What one way will you show courage in leadership this week?
S056	What final act or song of Moses stands out to you?	What does his reflection teach about legacy and faithfulness?	What kind of example do you want to leave for others at school?	What habit will help you finish your week strong and faithful?
S057	What instructions did God give Joshua before entering the land?	What do these words show about courage and meditation on God’s Word?	Where do you need to be strong and brave in your responsibilities?	What will you do this week to keep God’s Word in mind daily?
S058	What miracle happens when Israel crosses the Jordan River?	What does this reveal about trusting God in transitions?	Where do you face a new or uncertain situation right now?	What action will help you trust God as you step forward this week?
S059	What event at Jericho stands out to you?	What does this story teach about obedience and faith?	When do you find it hardest to follow God’s directions?	What step of obedience will you take this week even if it feels unusual?
S060	What mistake does Israel make after Jericho’s victory?	What does this show about honesty and consequences?	Where do you see temptation to hide mistakes instead of owning them?	What honest step will you take to restore trust this week?
S061	What lessons stand out in Joshua’s leadership victories and challenges?	What does this teach about teamwork and perseverance?	Where can you help others reach a goal even when it’s difficult?	What way will you show perseverance and faithfulness this week?
S062	How does Joshua divide the land among the tribes?	What does this show about fairness and responsibility?	Where can you share fairly or include others in group work?	What choice will you make to be fair and generous this week?
S063	What final speech does Joshua give before his death?	What do his words show about loyalty and decision-making?	Where are you tempted to follow the crowd instead of standing for what’s right?	What promise will you renew to follow God this week?
S064	What happens when Israel forgets God after Joshua dies?	What does this reveal about human nature and memory?	Where do you notice people repeating mistakes instead of learning from them?	What reminder will you set to stay consistent with your faith this week?
S065	What stands out in the story of Deborah’s leadership?	What does this teach about courage and listening to God’s voice?	Where can you step up to lead or encourage others even when it’s hard?	What bold step will you take to lead with courage this week?
S066	What fears and doubts does Gideon express?	What does God’s response show about patience and strength?	When do you doubt your ability but sense God wants to use you?	What small step of faith will you take this week?
S067	What changes in Gideon’s heart after his victories?	What warning do you see about pride or forgetting God?	Where could pride tempt you after a success?	What humble choice will you make to give God the credit this week?
S068	What pattern do you see in the cycle of sin and repentance in Judges?	What does this reveal about God’s mercy and patience?	Where do you need to turn back to God and start again?	What decision will help you reset your heart this week?
S069	What makes Ruth’s loyalty to Naomi so powerful?	What does this story show about faithfulness and love in hard times?	Where can you show loyalty or kindness to someone who needs it?	What one act of kindness will you choose this week?
S070	What do you notice about how Ruth works and is noticed by Boaz?	What does this reveal about diligence and integrity?	Where do you see faithfulness in small tasks making a difference?	What quiet act of faithfulness will you do this week?
S071	What conversation between Boaz and Ruth stands out?	What does this teach about respect and provision?	How do respect and generosity affect your relationships at school?	What way will you show respect and kindness this week?
S072	What do you notice about how God works through Ruth’s story for the future?	What does this show about purpose and legacy?	Where can you trust God to use your story for good?	What step will you take to keep trusting God’s plan this week?
S073	What stands out in the story of Hannah’s prayer?	What does this reveal about persistence and faith?	Where do you need to keep praying or believing even when you feel unheard?	What will you do to keep trusting God this week?
S074	What qualities do you notice in young Samuel’s response to God’s call?	What does this teach about listening and obedience?	Where do you need to quiet distractions to hear God’s direction?	What action will you take to listen and respond this week?
S075	What warning does Samuel give to Israel about asking for a king?	What does this reveal about motives and leadership?	Where are people around you focused on image over integrity?	What value or standard will you hold onto this week?
S076	What mistakes does Saul make early in his reign?	What do these choices show about impatience and disobedience?	Where do you feel pressure to rush ahead instead of waiting on God’s timing?	What patient step will you choose instead this week?
S077	What moments show Saul’s insecurity and jealousy toward David?	What do these moments reveal about comparison and trust?	Where do you compare yourself to others in unhelpful ways?	What grateful perspective will you practice this week?
S078	What qualities stand out in David’s character before he becomes king?	What does this show about preparation and faithfulness in small things?	Where can you serve faithfully without needing recognition?	What consistent choice will you make to grow your character this week?
S079	What motivates David to face Goliath with courage?	What does his response show about confidence in God?	Where do you face challenges that feel too big to handle?	What brave action will you take while trusting God this week?
