Segment	Q1	Q2	Q3	Q4
S351	What images or phrases in Hebrews stand out to you?	What do they reveal about Jesus as our perfect example and priest?	Where do you need to stay focused on Jesus instead of distractions?	What daily habit will help you fix your attention on Him?
S352	What examples of faith appear in Hebrews 11?	What do these reveal about trusting God through challenges?	Where could you show faith when you can’t see results yet?	What step of faith will you take this week even without certainty?
S353	What encouragement or warning do you notice in Hebrews 12?	What does this teach about discipline and endurance?	Where do you feel like giving up and need encouragement to keep going?	What practice will help you persevere through challenges this term?
S354	What practical wisdom stands out in the book of James?	What does this reveal about putting faith into action?	Where can you live out your beliefs in small, consistent ways at school?	What action will you take to match your words with your deeds?
S355	What lessons about speech and self-control stand out in James 3?	What does this show about the power of words?	Where could your words bring more encouragement than criticism?	What phrase or attitude will you use to build others up this week?
S356	What do you notice about James’ teaching on humility and dependence on God?	What does this reveal about pride versus trust?	Where do you rely too much on your own plans or abilities?	What step will help you include God in your decisions today?
S357	What actions of compassion and justice appear in James’ teaching?	What does this show about faith that acts on behalf of others?	Where could you help someone in need or stand for fairness?	What action will you take to serve others this week?
S358	What warnings and hopes appear in 1 Peter about suffering and courage?	What does this reveal about joy and faith in hardship?	Where do you face pressure to hide your faith or values?	What will help you stand strong with joy through challenges?
S359	What example of humility and leadership stands out in 1 Peter 5?	What does this reveal about serving others willingly?	Where could you lead through service instead of control?	What act of servant leadership will you practice today?
S360	What repeated themes of truth and love appear in 1–3 John?	What do these reveal about genuine relationships and faith?	Where could you express love and truth in balance with others?	What word or gesture will you use to show love in truth this week?
S361	What emotions or priorities stand out in John’s encouragement to believers?	What does this reveal about confidence and security in faith?	Where do you need assurance that you belong to God?	What truth will you remind yourself of when doubts appear?
S362	What insights about forgiveness and hospitality appear in John’s short letters?	What do these reveal about community and kindness?	Where could you open your heart or space to include others?	What act of hospitality or welcome will you offer this week?
S363	What visions of worship appear in Revelation 4–5?	What do these reveal about God’s power and majesty?	Where could worship shift your focus from problems to praise?	What way will you practice awe and gratitude today?
S364	What contrasts between good and evil stand out in Revelation’s visions?	What do they show about perseverance and moral courage?	Where do you see the struggle between right and wrong in your world?	What decision will you make to stay faithful in your values this week?
S365	What images of renewal and hope appear in the final chapters of Revelation?	What do these reveal about God’s promise to make all things new?	Where do you need hope for the future or comfort for today?	What perspective will you carry as you live with faith and anticipation?
